Store,Year,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,Total_Sales,Dry.Grocery,Dairy,Frozen,Meat,Produce,Floral,Deli,Bakery,General,Cluster
S0001,2015,10845787.65,2423389.38,1814872.88,2531382.34,2284388.7,159142.23,1023812.9,835599.06,1590570.68,23508945.82,46.134726,10.308371,7.719925,10.767741,9.717104,0.676943,4.354993,3.554388,6.76581,1
S0002,2015,7931072.94,1844188.83,1366677.52,1991807.66,1755293.15,128935.92,689786.42,514864.68,1111992.45,17334619.57,45.752795,10.638761,7.884093,11.490345,10.12594,0.743806,3.979242,2.970153,6.414865,1
S0003,2015,12741875.44,3095321.58,2087437.15,3468989.12,3792143.03,291259.69,1262874.27,1091930.44,2408831.27,30240661.99,42.134909,10.235628,6.90275,11.471274,12.539881,0.963139,4.17608,3.610802,7.965537,2
S0004,2015,12688533.89,2710746.38,2240847.44,3565375.84,2802811.88,170822.64,1166388.77,962155.82,1606208.31,27913890.97,45.455984,9.711102,8.027714,12.772766,10.040922,0.611963,4.178524,3.446871,5.754154,1
S0005,2015,12248085.57,2957003.74,2402445.89,2834435.52,3648309.02,247017.36,984736.25,629055.94,1874796.88,27825886.17,44.016875,10.626809,8.633852,10.186326,13.111205,0.887725,3.538921,2.260686,6.7376,2
S0006,2015,15921985.74,3414385.76,2577624.88,3702008.49,3524245.59,286180.46,1603464.11,1226324.72,2369201.12,34625420.87,45.983515,9.860922,7.444313,10.691591,10.178203,0.826504,4.630887,3.541689,6.842375,1
S0007,2015,13644163.44,3152200.12,2752056.93,3553409,3192688.95,241915.18,1428888.69,931336.01,1966428.99,30863087.31,44.20868,10.213496,8.916985,11.513459,10.344684,0.783833,4.629766,3.017637,6.371459,1
S0008,2015,12503176.41,3173008.04,2343931.3,3118893.04,3609692.16,229334.44,951990.47,653608.2,2598245.71,29181879.77,42.845685,10.873213,8.032146,10.687773,12.369636,0.78588,3.262266,2.239774,8.903627,2
S0009,2015,17990212.13,4083162.02,3134343.14,4837013.88,4210541.86,296476.2,1798155.15,1047732.42,3280983.51,40678620.31,44.225227,10.037612,7.705136,11.890801,10.350749,0.728826,4.420394,2.575634,8.065621,3
S0010,2015,9364058.9,2495117.23,1743731.4,2325539.02,2639823.51,225352.37,805192.95,825864.13,1279248.61,21703928.12,43.144535,11.496155,8.034174,10.71483,12.162884,1.038302,3.709895,3.805137,5.894088,2
S0011,2015,10163008.45,2104841.34,1609834.78,2719787.7,2205228.62,176845.1,1091045.18,726534.57,1598547.88,22395673.62,45.379338,9.398428,7.188151,12.144255,9.846672,0.78964,4.871678,3.244084,7.137753,1
S0012,2015,22920867.6,4784134.92,3657381.26,5626478.83,4639016.01,335699.97,2216645.21,914460.49,4091856.84,49186541.13,46.599877,9.726512,7.435736,11.439062,9.431474,0.682504,4.506609,1.859168,8.319058,3
S0013,2015,17451783.56,3553516.21,2951489.37,4467174.88,3629467.14,309895.27,1812614.94,1342741.95,3650467.09,39169150.41,44.55492,9.072232,7.53524,11.40483,9.266137,0.791172,4.62766,3.42806,9.31975,3
S0014,2015,13770222.43,3029633.62,2391810.25,3058413.55,3311035.35,330321.91,1082305.37,636768.63,3377451.51,30987962.62,44.437327,9.776808,7.718514,9.869683,10.684908,1.065968,3.492664,2.05489,10.899237,3
S0015,2015,16733288.07,3689264.26,2908692.42,3735002.13,3921200.02,287081.34,1306527.72,937785.14,3834916.56,37353757.66,44.7968,9.876555,7.78688,9.999,10.497471,0.768547,3.497714,2.510551,10.266481,3
S0016,2015,11144879.86,2135270.92,1823002.86,2570843.14,2065999.38,145993.89,1075451.66,670693.26,1720661.82,23352796.79,47.723962,9.143534,7.806358,11.008716,8.846903,0.625167,4.605237,2.872004,7.368119,1
S0017,2015,13818627.34,3158295.28,2484711.41,3081529.14,4215854.25,422332.61,1288667.35,890682.47,2180252.8,31540952.65,43.811699,10.013316,7.877731,9.76993,13.366287,1.338998,4.085696,2.823892,6.912451,2
S0018,2015,10994579.22,2399399.79,1918423.17,2575042.16,2646907.99,226217.15,1044561.79,848925.03,1624673.09,24278729.39,45.284821,9.882724,7.901662,10.606165,10.902169,0.93175,4.302374,3.496579,6.691755,1
S0019,2015,9500819.34,1918345.51,1532868.24,2197008.49,1865858.21,113276.66,638836.56,385628.7,1529502.66,19682144.37,48.271261,9.746629,7.788116,11.162445,9.479954,0.57553,3.245767,1.959282,7.771016,3
S0020,2015,10997288.18,2568277.53,1866647.95,2600090.68,2615310,201233.89,914548.27,705612.78,1501802.12,23970811.4,45.87783,10.714187,7.78717,10.846903,10.910394,0.839496,3.815258,2.943633,6.265128,2
S0021,2015,9410854.65,2656706.22,1879698.39,1874153.33,3217947.64,194611.01,795313.46,612390.49,1100774.09,21742449.28,43.283323,12.218983,8.645293,8.619789,14.8003,0.895074,3.657883,2.816566,5.062788,2
S0022,2015,13404375.38,2752887.18,2163727.82,3022688.81,2625382.14,246755.04,1229095.06,970143.13,2074377.15,28489431.71,47.050343,9.662836,7.594844,10.60986,9.215284,0.866128,4.314214,3.405274,7.281216,1
S0023,2015,7723456.23,1921840.1,1491504.46,1938579.85,1893525.06,167752.48,678086.29,640114.98,1233253.09,17688112.54,43.664671,10.865151,8.432242,10.959789,10.705071,0.948391,3.833571,3.618899,6.972214,2
S0024,2015,11160900.76,2550573.86,2014391.25,2570942.73,2709800.59,132218.66,1008674.17,562929.26,1813070.15,24523501.43,45.511041,10.400529,8.214126,10.483587,11.049811,0.539151,4.113092,2.295469,7.393194,3
S0025,2015,14470649.14,3278235.63,2493889.08,3286736.53,3498500.3,166116.52,1324244.75,961693.58,1838856.38,31318921.91,46.204174,10.467268,7.962883,10.494411,11.170564,0.530403,4.228258,3.070647,5.871391,1
S0026,2015,9711806.15,2236359.26,1664161.72,2119542.42,2411984.05,176843.89,799105.96,648571.84,1451771.86,21220147.15,45.766912,10.538849,7.842367,9.988349,11.366481,0.833377,3.765789,3.056397,6.841479,2
S0027,2015,11859562.08,2762018.81,2061424.43,2638827.83,3511115.94,431558.24,789146.71,620490.05,1876040.56,26550184.65,44.668473,10.403012,7.764256,9.939019,13.22445,1.625443,2.972283,2.337046,7.066017,2
S0028,2015,7841593.17,1787154.37,1366909.87,2062508.92,2017244.48,61139.83,645670.38,521856.64,1007023.92,17311101.58,45.29806,10.323747,7.896146,11.914371,11.652895,0.353183,3.729805,3.014578,5.817215,1
S0029,2015,14829406.83,3341340.32,2451973.11,4420784.46,3333528.94,209019.35,1440562.53,598927.39,2981115.45,33606658.38,44.126395,9.942495,7.296093,13.15449,9.919251,0.621958,4.286539,1.782169,8.87061,3
S0030,2015,11232100.21,2789061.75,1805115.79,2839990.86,2965450.25,211755.18,1225710.44,779454.6,1648698.92,25497338,44.05205,10.938639,7.079625,11.138382,11.630431,0.830499,4.807209,3.057004,6.466161,1
S0031,2015,13344842.36,3014887.33,2274456.12,3304425.47,2575738.86,184062.48,1133312.67,595091.29,2842620.56,29269437.14,45.593095,10.300462,7.770755,11.289679,8.800097,0.628856,3.872,2.033149,9.711907,3
S0032,2015,10839766.57,2277093.41,1769568.5,2797084.07,2331785.09,157300.51,966854.67,567271.16,2458833.29,24165557.27,44.856266,9.422888,7.322689,11.574672,9.649209,0.650929,4.000962,2.347437,10.17495,3
S0033,2015,14465006.19,3356605.45,2631936.7,3916347.08,3730920.43,296740.91,1345068.95,923256.25,2294605.79,32960487.75,43.885898,10.183725,7.985127,11.881945,11.319373,0.900293,4.080853,2.8011,6.961686,2
S0034,2015,13566943.93,3218941.92,2562510.4,3402503.03,3561114.71,362451.26,1372806.13,902119.1,2100665.64,31050056.12,43.693782,10.366944,8.252837,10.958122,11.468948,1.167313,4.421268,2.90537,6.765417,2
S0035,2015,8525732.59,1856416.79,1448285.37,2243507.61,1615522.5,132984.09,742343.57,537480.27,1262948.38,18365221.17,46.42325,10.108328,7.886022,12.216066,8.796641,0.724108,4.042116,2.92662,6.876848,1
S0036,2015,8814761.2,1687871.64,1432261.65,1795257.75,1748605.79,103705.82,545124.18,283134.94,1416381.48,17827104.45,49.445838,9.468008,8.03418,10.070383,9.808692,0.581731,3.057839,1.588227,7.945101,3
S0037,2015,13507345.36,3060559.9,2410415.17,3383050.92,3562066.35,256331.63,1246123.74,635399.37,3225658.13,31286950.57,43.172457,9.782225,7.704219,10.812977,11.38515,0.819292,3.982887,2.030877,10.309915,3
S0038,2015,9122829.82,2227430.86,1714191.72,2453893.95,2171273.05,155092.65,782759.5,593747.63,1411229.41,20632448.59,44.215934,10.795766,8.308232,11.893372,10.523584,0.751693,3.793827,2.877737,6.839854,2
S0039,2015,9669474.43,2328789.52,1581216.99,2939723.13,1579637.47,147463.34,758905.04,1010486.17,1345626.92,21361323.01,45.266271,10.901897,7.402243,13.761896,7.394848,0.690329,3.552706,4.730447,6.299361,1
S0040,2015,16073815.58,3677680.76,2788687.32,4769599.23,4543001.51,299539.75,1464123.59,700204.9,2709070.05,37025722.69,43.412564,9.932772,7.531757,12.881853,12.269852,0.809004,3.954342,1.891131,7.316724,3
S0041,2015,11674107.53,2674726.45,2087500.74,2595859.27,2402327.77,172803.28,1261126.41,705443.21,1693623.67,25267518.33,46.202034,10.585632,8.261598,10.273503,9.507573,0.683895,4.991097,2.791897,6.70277,1
S0042,2015,18881880.24,4006812.63,3217344.18,4719220.8,3843105.62,238829.76,1884916.5,1159185.22,2410507.99,40361802.94,46.781558,9.927239,7.97126,11.692294,9.52164,0.591722,4.67005,2.871986,5.972251,1
S0043,2015,12162194.78,2791583.6,2218720.2,2890792.8,3136766.86,231556.75,1021871.91,690136.36,2014870.32,27158493.58,44.782288,10.27886,8.169526,10.644157,11.549856,0.852613,3.762624,2.541144,7.418933,2
S0044,2015,15772314.51,3562553.91,2715622.41,4481645.11,3735116.2,201122.97,1456372.17,1316636.75,2290881.67,35532265.7,44.38871,10.02625,7.642694,12.612889,10.5119,0.566029,4.098732,3.705468,6.447328,1
S0045,2015,18821234.56,4354423.4,3546379.18,3883710.16,4446110.8,394119.27,1637901.97,952974.54,4267237.08,42304090.96,44.490342,10.29315,8.383064,9.18046,10.509884,0.931634,3.871734,2.252677,10.087055,3
S0046,2015,17883061.14,4373298.18,3320714.19,4574109.64,5002506.61,443995.32,1607814.64,1209799.41,3893486.6,42308785.73,42.267961,10.336619,7.848758,10.811252,11.823801,1.049416,3.800191,2.859452,9.202549,2
S0047,2015,20130418.28,4359082.65,3644785.09,4807596.71,4593568.85,380905.05,1727800.92,936433.17,4516050.58,45096641.3,44.638398,9.666092,8.082165,10.660654,10.186055,0.844642,3.831329,2.076503,10.014162,3
S0048,2015,15351829.53,3431379.41,2843183.47,3562316.55,3440749.53,331411.22,1338514.34,924731.52,3560088.01,34784203.58,44.134486,9.864763,8.173778,10.24119,9.891701,0.952764,3.848052,2.658481,10.234784,3
S0049,2015,10022010.28,2424017.45,2025935.33,2122030.11,2510813.07,231099.48,940397.14,698494.12,1523808.91,22498605.89,44.545028,10.774078,9.004715,9.431829,11.159861,1.027172,4.179802,3.104611,6.772904,2
S0050,2015,18904924.18,4604837.64,3654389.92,4286193.57,6382729.42,654293.36,1635272.62,921487.02,2895084.11,43939211.84,43.025178,10.480019,8.316922,9.754826,14.526272,1.489088,3.72167,2.097186,6.588839,2
S0051,2015,14858870.69,3404191.04,2738386.27,2877653.86,3917645.91,271433.73,1250997.7,1026703.85,2015389.09,32361272.14,45.915595,10.519336,8.461924,8.892277,12.10597,0.838761,3.865725,3.172631,6.227781,2
S0052,2015,19906352.86,4440704.91,3420423.44,5136574.65,6637175.18,734241.05,1987478.38,1153010.85,3571911.99,46987873.31,42.364873,9.450747,7.279375,10.931703,14.125294,1.562618,4.229769,2.453848,7.601774,2
S0053,2015,14581530.55,3130532.88,2313704.13,3715695.89,2745412.25,201233.77,1447634.62,860645.19,1901166.71,30897555.99,47.193152,10.131976,7.488308,12.025857,8.885532,0.651293,4.685272,2.78548,6.15313,1
S0054,2015,17026101.04,3989612.16,3149861.69,4164490.16,4386911.15,309659.41,1673337.82,1146805.78,2423532.2,38270311.41,44.489058,10.424823,8.230562,10.881778,11.462962,0.809137,4.372418,2.996594,6.332669,2
S0055,2015,19088095.08,3736021.51,3173059.07,3847038.75,4400262.02,225703.13,1465620.42,639279.85,2427596.17,39002676,48.940475,9.578885,8.135491,9.863525,11.281949,0.578686,3.757743,1.639067,6.224178,3
S0056,2015,10391159.07,2549257.22,1884567.75,1907090.37,2572158.37,176842.67,592394.16,490284.11,1248561.77,21812315.49,47.638955,11.687238,8.639925,8.743182,11.79223,0.810747,2.71587,2.24774,5.724114,2
S0057,2015,14653637.31,3251575.4,2519485.1,4931545.65,3587804.57,196213.47,1656800.49,592246.87,2057046.97,33446355.83,43.812358,9.721763,7.532914,14.744643,10.727042,0.586651,4.953605,1.770737,6.150287,1
S0058,2015,13413628.73,2897466.58,2305301.28,2962731.37,2897813.17,240267.69,1378425.27,860880.03,1909961,28866475.12,46.467844,10.03748,7.986085,10.263572,10.03868,0.832342,4.775177,2.982283,6.616537,1
S0059,2015,12462807.04,2807123.52,2101484.93,3404045.88,3490732.83,214102.63,1259971.75,829482.95,2417121.15,28986872.68,42.994659,9.68412,7.249781,11.743405,12.042461,0.738619,4.346698,2.861581,8.338675,3
S0060,2015,15688606.94,3555148.75,2872841.23,3998911.1,3516216.8,366568.84,1452109.14,902494.46,2533936.38,34886833.64,44.969994,10.190517,8.234743,11.462522,10.078922,1.050737,4.162341,2.58692,7.263303,2
S0061,2015,19352651.46,4461770.11,3095090.85,4923658.91,4329100.12,244877.13,2074325.81,1243333.02,2297763.31,42022570.72,46.052993,10.617556,7.365306,11.716701,10.301845,0.582728,4.936218,2.958727,5.467927,1
S0062,2015,12248028.87,2577226.39,2079239.8,2442931.82,2882942.49,151167.25,1062596.06,559885.62,2060781.69,26064799.99,46.990688,9.887766,7.977195,9.372532,11.060674,0.579967,4.076747,2.148053,7.906378,3
S0063,2015,8729367.81,2373881.9,1771709.83,2202671,2822801.12,193831.14,623938.46,607220.75,1518719.92,20844141.93,41.879238,11.388725,8.499797,10.567338,13.542419,0.929907,2.993352,2.913148,7.286076,2
S0064,2015,9975297.43,2452825.8,1630303.74,2620448.72,2806409.24,218816.85,906447.01,1001406.81,1242288.12,22854243.72,43.647462,10.732474,7.133484,11.465917,12.279598,0.957445,3.966209,4.381711,5.4357,2
S0065,2015,14548365.67,3709653.21,2541375.39,3903469.76,4244599.91,401274.13,1339607.66,1073955.02,2907880.44,34670181.19,41.962185,10.699838,7.330147,11.258867,12.242797,1.157404,3.863861,3.097633,8.387266,2
S0066,2015,15930729.89,3513480.75,2929476.99,3732184.45,3021856.3,304719.87,1410438.96,890801.23,3572979.13,35306667.57,45.121024,9.951324,8.297234,10.570764,8.558883,0.863066,3.994823,2.52304,10.119842,3
S0067,2015,13208481.87,2850178.02,2323242.19,3517290.99,2926805.74,171868.63,1247766.13,703530.22,1748363.96,28697527.75,46.02655,9.931789,8.095618,12.256425,10.198808,0.598897,4.347992,2.451536,6.092385,1
S0068,2015,17116047.01,3885400.46,2943162.25,3997440.94,4775191.33,364386.38,1782749.49,1400891.14,2559074.52,38824343.52,44.085863,10.00764,7.580713,10.296223,12.299477,0.938551,4.591834,3.60828,6.591417,2
S0069,2015,10171488.28,2610543.88,1909920.49,2763957.68,3279238.46,194733.89,1023277.68,914185.36,1741950.8,24609296.52,41.331894,10.607958,7.760972,11.231356,13.325202,0.791302,4.158094,3.714797,7.078426,2
S0070,2015,15551585.46,3449561.43,2718768.77,3563208.16,4013986.34,276776.12,1336535.56,825115.8,3634274.01,35369811.65,43.968528,9.752841,7.686693,10.074151,11.348622,0.782521,3.778747,2.332825,10.275073,3
S0071,2015,13753914.08,3038819.76,2126413.89,4160577.09,3135443.78,184240.31,1330196.58,665396.47,2552738,30947739.96,44.442386,9.819198,6.870983,13.44388,10.131414,0.595327,4.298203,2.150065,8.248544,3
S0072,2015,16735266.3,3531512.75,2411981.19,4778935.6,4147374.1,287682.8,1676771.13,692740.56,3797553.88,38059818.31,43.970957,9.278848,6.337343,12.55638,10.896989,0.75587,4.40562,1.820136,9.977856,3
S0073,2015,15644379.69,3508188.95,2793488.95,3782537.58,4465628.93,311041.81,1525076.3,1293299.18,2556073.85,35879715.24,43.602296,9.777639,7.785705,10.542273,12.44611,0.866902,4.250525,3.604541,7.124008,2
S0074,2015,9359491.15,2112420.38,1619474.25,2705702.35,1908571.21,104311.03,766377.12,680005.26,1251862.39,20508215.14,45.637766,10.300362,7.89671,13.193261,9.306374,0.50863,3.736927,3.31577,6.1042,1
S0075,2015,13433609.13,3046198.57,2352610.73,4961131.18,3567736.58,142057.19,1606817.41,499520.37,1549614.52,31159295.68,43.112685,9.776211,7.550269,15.921834,11.449991,0.455906,5.156783,1.603118,4.973201,1
S0076,2015,9919151.26,2240409.57,1852723.94,2481944.99,2605311.13,264552.57,941792.04,590258.53,1712977.48,22609121.51,43.872343,9.909317,8.194586,10.977627,11.523274,1.170114,4.16554,2.61071,7.576488,2
S0077,2015,11830087.05,2777040.86,2205284.96,2861789.75,3178498.13,292412.08,1026552.9,1057670.22,1721778.73,26951114.68,43.894611,10.303993,8.182537,10.618447,11.793568,1.084972,3.808944,3.924403,6.388525,2
S0078,2015,7941652.94,2202417.72,1620640.59,2058790.78,2343553.96,132383.08,667635.85,463992.82,974476.95,18405544.69,43.148155,11.966056,8.805176,11.18571,12.732869,0.719257,3.627363,2.52094,5.294475,2
S0079,2015,11014708.74,2278637.38,1824305.04,2869326.94,2349084.45,183894.22,958828.26,539816.49,1716709.36,23735310.88,46.406423,9.6002,7.686038,12.088853,9.897003,0.774771,4.03967,2.274318,7.232723,3
S0080,2015,6015457.74,1340208.61,1037446.86,1278210.26,1042516.44,97321.71,457539.13,305939.47,1044103.93,12618744.15,47.670812,10.620776,8.221475,10.129457,8.26165,0.771247,3.625869,2.424484,8.27423,3
S0081,2015,6223032.38,1500900.17,1273072.82,1815579.88,1715208.66,124602.84,572727.66,631365.19,845442.23,14701931.83,42.327991,10.208864,8.659221,12.349261,11.666553,0.847527,3.895595,4.294437,5.750552,2
S0082,2015,16101048.58,3519202.13,2629629.54,3968025.49,3544714.74,184041.21,1685799.63,1229853.62,2064418.11,34926733.05,46.099498,10.075956,7.528988,11.360998,10.149002,0.526935,4.826674,3.521239,5.910711,1
S0083,2015,8510839.61,2068732.16,1592307.43,2080217.16,2231752.09,134863.43,605897.73,478990.25,1299214.29,19002814.15,44.787259,10.886452,8.379324,10.94689,11.744324,0.709702,3.188463,2.520628,6.836957,2
S0084,2015,9921287.98,2292092.92,2034849.42,2283307.78,2173133.49,137454.97,865370.47,476737.31,1369446.7,21553681.04,46.030597,10.634346,9.440844,10.593586,10.082424,0.637733,4.014954,2.21186,6.353656,2
S0085,2015,9143517.2,2426042.21,1621992.03,2483554.6,2699498.21,229219.47,674595.12,796420,1477864.8,21552703.64,42.423992,11.256324,7.525701,11.52317,12.525102,1.06353,3.129979,3.695221,6.856981,2
